rank,title,year,rating,runtime,Mystery,Drama,Sport,Sci-Fi,Family,Adventure,Horror,Crime,Romance,Fantasy,Western,Animation,War,Thriller,Action,Music,Comedy,Musical,Biography,History
155,Pawnshop,2013,8.4,88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
156,Revenge of the Sith Review,2010,8.5,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
157,A Separation,2011,8.4,123,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Backgammon,2014,8.4,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Beforel Orel: Trust,2012,8.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
160,American Girl,2013,8.4,82,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,Odd Brodsky,2013,8.4,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,Impirioso,2013,8.4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Dissensions,2012,8.4,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,The Emigrant,2012,8.4,47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
165,American Actor,2011,8.4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
166,Cops,2010,8.4,75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
167,Under 21,2009,8.4,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,Sden,2008,8.4,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
169,Soodhu Kavvum,2013,8.4,135,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
170,Bread and Butter,2014,8.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
171,Doctor Faustus,2012,8.4,147,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
172,Crossed the Line,2014,8.4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Athadu,2005,8.4,172,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0
174,Teenage Kung Fu Cottontails,2014,8.4,104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
175,Bhaag Milkha Bhaag,2013,8.4,186,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
176,Anima and Persona,2010,8.4,153,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
177,Toy Story 3,2010,8.4,103,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
178,WildLike,2014,8.5,104,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,New Kids on the Block: Coming Home,2010,8.4,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
180,Schism,2008,8.4,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Teacher of the Year,2014,8.4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
182,The Beautiful Ones,2014,8.4,94,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
183,Jewel Fools,2014,8.4,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
184,"Trust, Greed, Bullets & Bourbon",2013,8.2,85,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
185,Detective Detective Detective,2014,8.4,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
186,Astray,2014,8.4,70,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Someone's Life,2014,8.4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
